AL032669	2L52
AL032671	3R5
AL031254	4R79
AL031222	6R55
Z71177	AC3
U61957	AC7
Z83097	AC8
Z48009	AH6
U41270	AH9
Z81027	AH10
Z69634	B0001
AL008866	B0019
Z71178	B0024
U97190	B0025
U23528	B0034
Z73102	B0035
AF000196	B0041
AF016658	B0047
Z67734	B0198
AF067211	B0205
U97196	B0207
AC024695	B0212
AF045639	B0212
AF039050	B0213
U58752	B0218
U50312	B0222
U23168	B0228
AF016450	B0238
Z74026	B0240
U28971	B0244
Z81453	B0250
U23453	B0252
U97016	B0261
Z46240	B0272
AF036698	B0273
U10438	B0280
AF016666	B0281
Z30973	B0284
Z34533	B0285
U39848	B0286
AF098497	B0294
U41032	B0302
M77697	B0303
U39472	B0304
U40959	B0310
Z99102	B0331
Z66519	B0334
U32305	B0336
AF067209	B0344
AF068714	B0348
AF068714	B0348
U50071	B0350
U23413	B0353
U00031	B0361
Z81028	B0365
Z83316	B0379
Z81454	B0391
Z37983	B0393
Z68131	B0395
Z81455	B0399
U40411	B0403
U52000	B0410
U80953	B0412
AF003145	B0414
U23516	B0416
U80836	B0432
AF025452	B0454
Z54306	B0457
Z81456	B0462
Z19152	B0464
U57054	B0478
Z49907	B0491
U21317	B0495
U58749	B0496
U64833	B0507
AF067608	B0511
Z82256	B0513
L07143	B0523
AC006603	B0524
AF078781	B0545
AF038604	B0546
U80814	B0547
U80031	B0554
U28740	B0563
Z73422	B0564
AC092690	BE0003N10
Z93372	BE10
Z81029	C01A2
AF125952	C01B4
U53147	C01B7
Z93373	C01B9
U58757	C01B10
AF025458	C01B12
AF025458	C01B12
U41025	C01C4
Z82257	C01C7
U23526	C01C10
U58761	C01F1
U97192	C01F4
Z68213	C01F6
U50068	C01G5
Z35595	C01G6
U80439	C01G8
Z81030	C01G10
Z81457	C01G12
Z71258	C01H6
AF016415	C02A12
Z50004	C02B4
U40421	C02B8
AF038605	C02B10
L23649	C02C2
Z79596	C02C6
Z81031	C02D4
L16622	C02D5
AF016446	C02E7
AF101304	C02E11
Z81032	C02F4
L14745	C02F5
U41545	C02F12
U55372	C02G6
AF024490	C02H6
U49945	C02H7
Z73423	C03A3
AF016451	C03A7
U40952	C03B1
U00041	C03B8
Z35637	C03C10
Z81033	C03C11
Z75525	C03D6
Z81458	C03E10
U39744	C03F11
U41555	C03G5
U97008	C03G6
AF016674	C03H5
Z81459	C03H12
U23448	C04A2
Z81460	C04A11
Z69716	C04B4
AF038606	C04C3
Z72501	C04C11
AF098498	C04D1
L16687	C04D8
U97012	C04E6
U41019	C04E7
AF078785	C04E12
AF067210	C04F1
AF078780	C04F2
AF101305	C04F5
U42835	C04F6
Z81461	C04F12
Z70718	C04G2
U55854	C04G6
Z49066	C04H4
Z81462	C04H5
Z73968	C05A2
Z70265	C05A9
Z32679	C05B5
AF036685	C05B10
AF016430	C05C8
Z68000	C05C9
Z48178	C05C10
Z68333	C05C12
AF047651	C05D2
U64605	C05D9
U13645	C05D10
U00048	C05D11
Z50872	C05D12
AF026209	C05E4
Z67879	C05E7
U53338	C05E11
Z70203	C05G5
AF045635	C05G6
U11029	C05H8
Z49886	C06A1
U97193	C06A5
U41012	C06A6
U39849	C06A8
U39849	C06A8
Z83744	C06A12
Z77652	C06B3
Z81463	C06B8
Z36719	C06C3
Z93374	C06C6
L16559	C06E1
U39674	C06E2
U41277	C06E4
U41009	C06E7
U00034	C06E8
U41014	C06G1
U61947	C06G3
L25598	C06G4
Z70306	C06G8
AF077535	C06G12
Z75526	C06H2
Z92775	C06H5
Z78536	C07A4
Z29094	C07A9
U41542	C07A12
AF038607	C07B3
Z46266	C07B5
Z68295	C07C7
AF099004	C07D2
U80844	C07D8
U13072	C07D10
Z49908	C07E3
AC006604	C07F11
U58751	C07G1
Z32840	C07G2
AF016432	C07G3
Z68334	C07H4
AC006605	C07H6
U42844	C08A9
Z72502	C08B6
Z46676	C08B11
L15201	C08C3
U41108	C08D8
AF025457	C08E3
Z81464	C08E8
AF025453	C08F1
Z73103	C08F8
Z83216	C08F11
AF098985	C08G5
AF036687	C08G9
Z54342	C08H9
U64603	C09B7
U29612	C09B8
U50069	C09B9
U29487	C09C7
AF003131	C09D1
AF002196	C09D4
Z46811	C09D8
AC006607	C09E7
AF077529	C09E8
Z80213	C09E9
U49946	C09E10
U22832	C09F5
Z81465	C09F9
Z78537	C09F12
Z50176	C09G1
U42438	C09G4
Z46791	C09G5
Z54235	C09G9
AF038608	C09G12
AF016433	C09H5
Z81466	C09H6
Z50109	C09H10
U23454	C10A4
AF016431	C10B5
Z68214	C10C5
Z83217	C10C6
AF026202	C10E2
AF022968	C10F3
U58745	C10G6
U70857	C10G8
U88170	C10G11
U88311	C10H11
AF045640	C11D2
AF003147	C11D9
Z81015	C11E4
Z70204	C11G6
Z68001	C11G10
Z70205	C11H1
Z81467	C12C8
U55365	C12D5
Z73969	C12D8
U51998	C12D12
AF022967	C13A2
U80841	C13A10
Z81468	C13B4
AF125954	C13B7
U21309	C13B9
Z92825	C13C4
Z77653	C13C12
AF016420	C13D9
U40936	C13E3
U97006	C13F10
Z74027	C13G3
L14730	C13G5
Z49909	C14A4
Z81470	C14A6
U97592	C14A11
Z37139	C14B1
Z81471	C14B4
L15188	C14B9
AF039051	C14C6
Z74028	C14C10
U53141	C14C11
U46671	C14E2
U29082	C14F5
U39645	C14F11
Z50863	C14H10
Z67735	C15A7
Z79694	C15A11
U23529	C15B12
Z81034	C15C6
U41528	C15C7
Z75527	C15C8
AF045636	C15E6
AC006608	C15F1
Z22173	C15H7
U56965	C15H9
Z81035	C15H11
U41534	C16A3
AF077536	C16A11
U41031	C16B8
Z81036	C16C2
AF016657	C16C4
U80452	C16C8
Z46787	C16C10
AL023810	C16D2
Z81472	C16D6
U64858	C16D9
U39677	C16E9
U67955	C16H3
AF016654	C17A2
AF047655	C17B7
U41279	C17C3
Z81473	C17D12
Z81037	C17E4
AF016443	C17E7
AF043692	C17F3
AF016655	C17F4
Z78415	C17G1
U28739	C17G10
Z92777	C17H1
U80847	C17H11
AF045642	C17H12
U28944	C18A3
U39667	C18A11
U40413	C18B2
U80024	C18B10
AL031620	C18B12
U55369	C18C4
Z48543	C18D1
Z81474	C18D4
Z92826	C18D11
AF000265	C18E3
Z70034	C18E9
U50067	C18F3
U00049	C18F10
AF068708	C18G1
U00040	C18H2
AF067607	C18H7
U23147	C18H9
U39676	C23F12
U39676	C23F12
U39851	C23G10
U80453	C23H3
Z78416	C23H4
AF067609	C23H5
AF024491	C24A1
U40424	C24A3
U80845	C24A8
U80443	C24A11
U53149	C24B5
AF068709	C24B9
AF036688	C24D10
AF100654	C24E9
AL022716	C24F3
AF067936	C24G6
U88310	C24G7
U40423	C24H10
Z81475	C24H11
AF025451	C24H12
Z81038	C25A1
AC024135	C25A6
U61958	C25A8
U39650	C25A11
U41556	C25B8
Z81039	C25D7
U50311	C25E10
U39742	C25F6
Z81476	C25F9
Z70680	C25G4
U41028	C25G6
U29535	C25H3
U41559	C26B2
U41273	C26B9
Z72503	C26C6
AF043691	C26C9
AF043691	C26C9
Z54327	C26D10
Z81040	C26E1
U13875	C26E6
U53148	C26F1
AL022270	C26G2
Z99169	C26H9A
Z99170	C26H9B
U58760	C27A2
Z81041	C27A7
AF003137	C27A12
Z54236	C27B7
Z81477	C27C7
Z69883	C27C12
U23179	C27D6
Z80214	C27D8
U49955	C27D9
L23650	C27D11
U40419	C27F2
Z82258	C27H2
U14635	C27H5
Z81042	C27H6
Z32680	C28A5
U40797	C28C12
Z82259	C28D4
U23180	C28F5
U41026	C28G1
U20861	C28H8
Z73970	C29A12
L23651	C29E4
Z72504	C29E6
Z81043	C29F3
Z68335	C29F4
U23524	C29F5
Z92827	C29F7
AF099913	C29F9
AF022969	C29G2
U23169	C29H12
L10990	C30A5
U23450	C30B5
L09634	C30C11
Z35596	C30D11
AF026204	C30E1
Z70681	C30F2
AC006611	C30F8
AC006610	C30F12
AC006610	C30F12
U49947	C30G4
Z78239	C30G7
U21319	C30G12
Z81044	C30H6
U97402	C30H7
Z83218	C31A11
AF022971	C31B8
Z83219	C31C9
Z78539	C31E10
Z81478	C31G12
U42848	C31H1
U41748	C31H2
Z93778	C31H5
AC006613	C31H11
Z48241	C32A3
Z49153	C32A9
U80843	C32B5
Z73905	C32C4
U23511	C32D5
U88308	C32E8
U80032	C32E12
AF000195	C32F10
Z82260	C32H11
Z79597	C33A11
Z68493	C33A12
Z48367	C33B4
AF016662	C33C12
Z49867	C33D3
U20863	C33D8
Z68159	C33D9
U64600	C33D12
AF067220	C33E10
U49830	C33F10
Z78540	C33G3
U53154	C33G8
U41007	C33H5
AF043693	C34B2
Z78059	C34B4
Z83220	C34B7
Z66494	C34C6
Z46996	C34C12
Z78060	C34D1
U58755	C34D4
U29157	C34D10
Z67880	C34E7
U10402	C34E10
Z67754	C34E11
Z81479	C34F6
U46753	C34F11
U97407	C34G6
AC006614	C34H3
AF047652	C34H4
Z71185	C35A5
AF016656	C35A11
AF045638	C35B1
U23520	C35B8
Z78417	C35C5
Z82261	C35D6
U21324	C35D10
AF067216	C35E7
Z66495	C36A4
Z80215	C36B1
AC006615	C36B7
AF016444	C36C5
AF098986	C36C9
AC024089	C36E6
Z35597	C36E8
Z81045	C36F7
Z69658	C36H8
U97194	C37A2
Z92828	C37A5
U64857	C37C3
Z81046	C37E2
AF067606	C37F5
U88315	C37H5
AF024494	C38C3
U40418	C38C5
Z93375	C38C6
Z19153	C38C10
Z46241	C38D4
Z81481	C38D9
Z35641	C38H2
AC006617	C39B5
Z50027	C39B10
U39678	C39D10
U49944	C39E6
Z70307	C39E9
AF101310	C39F7
U58754	C39H7
AF099914	C40A11
Z70266	C40C9
AF077530	C40D2
Z19154	C40H1
Z81482	C40H5
U41541	C41A3
Z48045	C41C4
AF016653	C41D7
AF003740	C41D11
Z81047	C41G6
Z81048	C41G7
U46669	C41G11
AF025450	C41H7
AF043695	C42C1
AF043695	C42C1
U41991	C42D4
U56966	C42D8
Z47067	C43C3
Z81483	C43D7
U80437	C43E11
Z82262	C43F9
U70848	C43G2
U51999	C43H6
AF098499	C43H8
AF098499	C43H8
AF036686	C44A5
U28928	C44B7
Z73424	C44B9
AF003387	C44B11
AF036692	C44B12
U41030	C44C1
U80028	C44C3
AF100655	C44C8
Z69787	C44C10
AF045637	C44C11
AF045637	C44C11
Z92779	C44E1
AF003140	C44E4
U39647	C44E12
Z49067	C44F1
Z79598	C44H4
Z75529	C44H9
AC006618	C45B2
Z74029	C45B11
AF043694	C45E1
U61950	C45E5
Z92780	C45G3
AF067611	C45G7
U21323	C45G9
AF039053	C45H4
U61948	C46A5
Z68002	C46B5
Z68296	C46C2
AC006619	C46C11
AL008867	C46E1
AF039710	C46E10
AF067208	C46F2
U39655	C46F4
AF025456	C46F9
Z81449	C46F11
U97593	C46G7
U41271	C46H3
U88314	C46H11
Z82263	C47A4
Z81484	C47A10
Z99709	C47B2
U67951	C47C12
U64861	C47D2
Z69902	C47D12
Z75530	C47E8
Z68882	C47E12
AL009246	C47F8
Z49125	C47G2
U61951	C48A7
Z29117	C48B4
U97189	C48B6
U39994	C48C5
Z81049	C48D1
Z36237	C48D5
AF000262	C48E7
Z78061	C48G7
Z83221	C49A1
AF036693	C49A9
Z82264	C49C3
U61945	C49C8
AF016665	C49D10
Z81485	C49F5
Z70206	C49F8
AF016418	C49G7
AL022593	C49G9
U42436	C49H3
AF036689	C50A2
Z81050	C50B6
Z77654	C50B8
L14433	C50C3
Z72505	C50C10
AF040642	C50D2
U64848	C50E3
AF098988	C50E10
AF098988	C50E10
U80445	C50F2
Z70750	C50F4
U41557	C50F7
Z73971	C50H2
AF016449	C50H11
Z78410	C51E3
AL023811	C51F7
AC006621	C52A10
Z46792	C52A11
U58733	C52B5
U64598	C52B9
U41276	C52B11
AC006622	C52D10
AC006622	C52D10
AC024090	C52E2
Z78012	C52E4
U50135	C52E12
Z67881	C52G5
AF039035	C53A3
Z81486	C53A5
Z68215	C53B4
U42830	C53B7
AL008868	C53C7
U28734	C53C9
U88182	C53C11
AC006624	C53D5
Z70270	C53D6
AF003143	C53H9
U28733	C54A12
Z77131	C54C6
Z83102	C54C8
U46673	C54D1
U37548	C54D2
Z75531	C54D10
AF038609	C54E4
Z81487	C54E10
AF016447	C54F6
Z75533	C54G4
AF043698	C54G6
U40410	C54G7
Z75532	C54G10
U58728	C54H2
Z81489	C55A1
Z81051	C55A6
U88181	C55B6
AC006625	C55B7
AF003144	C55C2
U53335	C55C3
U58747	C55F2
U55367	C55H1
Z77655	C56A3
U29488	C56C10
U39996	C56E6
U40160	C56E10
U23177	C56G2
U39654	C56G3
Z46793	C56G7
U42840	CB3
Z81490	CC4
AC006626	CC8
AF036694	CD4
AL031270	cTel3X
AL032676	cTel4X
AL032677	cTel5
AL031272	cTel7X
AL033515	cTel17
AL590345	cTel29B
AL032679	cTel33B
AL590344	cTel52S
AL031226	cTel54X
AL031185	cTel55X
AL031271	cTel79B
U58727	D1005
AF003151	D1007
U40938	D1009
U53180	D1014
U23517	D1022
Z83103	D1025
AF106592	D1037
Z99771	D1043
U00065	D1044
Z68160	D1046
Z66560	D1053
Z74030	D1054
AF016414	D1065
AF040641	D1069
U70846	D1073
AF026201	D1079
Z75710	D1081
Z81491	D1086
Z79752	D2005
L16560	D2007
Z47808	D2013
U23513	D2021
Z81052	D2023
U41011	D2024
Z73906	D2030
Z35639	D2045
AF016664	D2062
AF125951	D2063
Z54284	D2085
Z36948	D2089
U88167	D2092
U40800	D2096
AF125956	DC2
Z49126	DH11
U40950	DL2
Z96047	DY3
AC006627	E01A2
Z83222	E01B7
Z93376	E01F3
Z83223	E01G4
Z69717	E01G6
U29376	E01H11
Z81053	E02A10
U41995	E02C12
AF106574	E02D9
Z47075	E02H1
Z68003	E02H4
AF099915	E02H9
Z38112	E03A3
AF039036	E03D2
AF026203	E03E2
Z68113	E03G2
Z81492	E03H4
AF000299	E03H12
AF038611	E04A4
Z66496	E04D5
U28943	E04F6
U23484	EEED8
U41266	EGAP1
U42842	EGAP2
U41529	EGAP3
U49943	EGAP4
U41537	EGAP5
U58736	EGAP7
U56962	EGAP8
U80026	EGAP9
AC027664	EGAP798
AC006628	EGAP1340
Z81054	F01D4
Z81493	F01D5
U42832	F01E11
U13070	F01F1
Z68341	F01G4
Z81055	F01G10
U53342	F01G12
Z19555	F02A9
U80025	F02C9
Z54269	F02C12
Z78411	F02D8
Z67990	F02D10
U53340	F02E8
Z81494	F02E9
AF016661	F02E11
U58729	F02G3
Z82265	F02H6
Z72506	F07A5
Z66511	F07A11
AC024696	F07B7
Z77656	F07B10
U50308	F07C3
U80023	F07C4
Z69659	F07C6
U46672	F07C7
Z71179	F07D3
U42845	F07D10
U80837	F07E5
U23486	F07F6
U51995	F07G6
AF016419	F07G11
Z68314	F07H5
AF043696	F07H8
AL022306	F08A7
Z99710	F08A8
Z75534	F08A10
U23178	F08B1
U52002	F08B4
AF106590	F08B6
Z68104	F08B12
U29378	F08C6
U80840	F08D12
AL021566	F08E10
AF026213	F08F1
U64847	F08F3
U28991	F08F8
Z81495	F08G2
Z70682	F08G5
Z66561	F08G12
Z77657	F08H9
Z69788	F09A5
Z49887	F09B9
Z83104	F09B12
Z92781	F09C3
Z81496	F09C6
