stable_id	description
WBGene00255737	Predicted to enable cholinesterase activity.
WBGene00255738	Is predicted to encode a protein with the following domains: ShK domain-like and ShKT domain.
WBGene00255739	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Str and 7TM GPCR, serpentine receptor class r (Str).
WBGene00255740	none available
WBGene00255741	none available
WBGene00255742	none available
WBGene00255743	none available
WBGene00255744	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Str and 7TM GPCR, serpentine receptor class r (Str).
WBGene00255745	none available
WBGene00255746	none available
WBGene00255747	Predicted to enable phosphatase activity. Predicted to be involved in phosphatidylinositol dephosphorylation. Is an ortholog of C. elegans chrIV_pilon.g11677 and inpp-1.
WBGene00255748	none available
WBGene00255749	Is predicted to encode a protein with the following domains: Histidine phosphatase superfamily (branch 2); Histidine phosphatase superfamily, clade-2; and Histidine phosphatase superfamily. Is an ortholog of C. elegans chrII_pilon.g3295 and pho-14.
WBGene00255750	Is predicted to encode a protein with the following domains: Histidine phosphatase superfamily (branch 2); Histidine phosphatase superfamily, clade-2; and Histidine phosphatase superfamily. Is an ortholog of C. elegans chrII_pilon.g3295 and pho-14.
WBGene00255751	Is predicted to encode a protein with the following domains: Histidine phosphatase superfamily (branch 2); Histidine phosphatase superfamily, clade-2; and Histidine phosphatase superfamily. Is an ortholog of C. elegans chrII_pilon.g3295 and pho-14.
WBGene00255752	Predicted to be involved in mRNA splicing, via spliceosome. Is an ortholog of C. elegans chrV_pilon.g14754 and snu-66.
WBGene00255753	Is predicted to encode a protein with the following domains: Uncharacterized conserved protein; Uncharacterised domain KxDL; and KxDL motif-containing protein 1-like.
WBGene00255754	Is predicted to encode a protein with the following domains: Thioredoxin; Thioredoxin domain; and Thioredoxin-like superfamily. Is an ortholog of C. elegans chrV_pilon.g14452 and dpy-11. In C. elegans, dpy-11 is involved in several processes, including cuticle development involved in collagen and cuticulin-based cuticle molting cycle; post-embryonic body morphogenesis; and regulation of growth.
WBGene00255755	Is predicted to encode a protein with the following domains: Histone deacetylase domain; Histone deacetylase family; Ureohydrolase domain superfamily; Histone deacetylase domain; and Histone deacetylase domain superfamily. Is an ortholog of C. elegans chrV_pilon.g15543 and hda-11.
WBGene00255756	Predicted to enable cytokine activity. Predicted to be located in extracellular region. Is an ortholog of C. elegans F25D1.3 and chrV_pilon.g15544.
WBGene00255757	Predicted to enable catalytic activity. Predicted to be involved in polyamine biosynthetic process. Is an ortholog of C. elegans chrV_pilon.g14544 and odc-1. In C. elegans, odc-1 is involved in putrescine biosynthetic process from ornithine.
WBGene00255758	none available
WBGene00255759	none available
WBGene00255760	Is predicted to encode a protein with the following domains: Family of unknown function (DUF5354) and Protein of unknown function DUF5354. Is an ortholog of B. malayi Bm10515.
WBGene00255761	none available
WBGene00255762	Predicted to enable N,N-dimethylaniline monooxygenase activity; NADP binding activity; and flavin adenine dinucleotide binding activity. Is an ortholog of C. elegans chrV_pilon.g16284 and fmo-4.
WBGene00255763	Is predicted to encode a protein with the following domains: Innexin and Innexin. Is an ortholog of C. elegans che-7 and chrV_pilon.g14865.
WBGene00255764	Is predicted to encode a protein with the following domains: Serpentine type 7TM GPCR chemoreceptor Srt and 7TM GPCR, serpentine receptor class t (Srt). Is an ortholog of C. elegans srt-28; Y55F3C.10; and srt-42.
WBGene00255765	none available
WBGene00255766	Predicted to be a structural constituent of cuticle.
WBGene00255767	Predicted to be involved in potassium ion transport and sodium ion transport. Predicted to be part of sodium:potassium-exchanging ATPase complex.
WBGene00255768	none available
WBGene00255769	none available
WBGene00255770	none available
WBGene00255771	none available
WBGene00255772	Predicted to enable nucleic acid binding activity. Is an ortholog of C. elegans rnp-2; rnp-3; and chrIV_pilon.g10137.
WBGene00255773	Is predicted to encode a protein with the following domains: ShK domain-like and ShKT domain.
WBGene00255774	Predicted to enable chondroitin 4-sulfotransferase activity. Predicted to be involved in chondroitin sulfate biosynthetic process and positive regulation of response to oxidative stress. Predicted to be integral component of membrane.
