stable_id	description
WBGene00000303	none available
WBGene00000304	none available
WBGene00000305	none available
WBGene00000306	none available
WBGene00000307	Predicted to enable serine-type endopeptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans bli-4. In C. elegans, bli-4 is involved in several processes, including cellular response to salt; collagen and cuticulin-based cuticle development; and positive regulation of synaptic assembly at neuromuscular junction.
WBGene00000312	Predicted to enable heme binding activity; iron ion binding activity; and oxygen binding activity. Predicted to be involved in oxygen transport. Is an ortholog of C. elegans glb-1.
WBGene00000313	none available
WBGene00000314	none available
WBGene00000315	none available
WBGene00000316	none available
WBGene00000317	none available
WBGene00000318	none available
WBGene00000319	none available
WBGene00000320	none available
WBGene00000321	none available
WBGene00000322	none available
WBGene00000323	none available
WBGene00000324	Predicted to enable voltage-gated potassium channel activity. Predicted to be involved in potassium ion transport; protein homooligomerization; and transmembrane transport. Predicted to be located in membrane. Predicted to be part of voltage-gated potassium channel complex. Is an ortholog of C. elegans exp-2. In C. elegans, exp-2 is involved in potassium ion transmembrane transport.
WBGene00000325	none available
WBGene00000326	none available
WBGene00000327	none available
WBGene00000328	Predicted to enable protein serine/threonine phosphatase activity. Predicted to be involved in protein dephosphorylation. Is an ortholog of C. elegans fem-2. In C. elegans, fem-2 is involved in developmental process involved in reproduction; peptidyl-threonine dephosphorylation; and positive regulation of cysteine-type endopeptidase activity involved in apoptotic process.
WBGene00000329	Is an ortholog of C. elegans fem-3. In C. elegans, fem-3 is involved in several processes, including positive regulation of macromolecule metabolic process; regulation of reproductive process; and sex determination.
WBGene00000330	none available
WBGene00000331	none available
WBGene00000332	Predicted to enable NAD binding activity; NADP binding activity; and oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor. Predicted to be involved in glucose metabolic process. Is an ortholog of C. elegans gpd-2 and gpd-3.
WBGene00000333	Predicted to enable NAD binding activity; NADP binding activity; and oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor. Predicted to be involved in glucose metabolic process. Is an ortholog of C. elegans gpd-2 and gpd-3.
WBGene00000334	none available
WBGene00000335	none available
WBGene00000336	none available
WBGene00000337	none available
WBGene00000338	none available
WBGene00000339	none available
WBGene00000340	none available
WBGene00000341	none available
WBGene00000342	none available
WBGene00000343	Predicted to enable ATPase inhibitor activity. Predicted to be involved in negative regulation of ATPase activity. Predicted to be located in mitochondrion. Is an ortholog of C. elegans mai-1. In C. elegans, mai-1 is involved in negative regulation of ATPase activity.
WBGene00000344	none available
WBGene00000345	none available
WBGene00000346	none available
WBGene00000347	none available
WBGene00000348	none available
WBGene00000349	none available
WBGene00000350	none available
WBGene00000351	none available
WBGene00000352	none available
WBGene00000353	none available
WBGene00000354	none available
WBGene00000355	none available
WBGene00000356	none available
WBGene00000357	none available
WBGene00000358	none available
WBGene00000359	none available
WBGene00000360	none available
WBGene00000361	none available
WBGene00000362	none available
WBGene00000363	none available
WBGene00000364	none available
WBGene00000365	Predicted to enable lipid transporter activity. Predicted to be involved in lipid transport. Is an ortholog of C. elegans vit-1 and vit-2.
WBGene00023521	Is predicted to encode a protein with the following domains: Protein of unknown function (DUF2700) and Protein of unknown function DUF2700. Is an ortholog of C. elegans T04A6.1.
WBGene00023522	Predicted to enable transcription coregulator activity. Predicted to be involved in regulation of transcription by RNA polymerase II. Predicted to be part of mediator complex. Is an ortholog of C. elegans chrV_pilon.g14498 and sna-1.
WBGene00023523	Predicted to be involved in protein homooligomerization. Is an ortholog of C. elegans ZC239.14; F22E5.8; and ZC239.15.
WBGene00023524	none available
WBGene00023525	Predicted to enable calcium ion binding activity. Is an ortholog of C. elegans fbn-1.
WBGene00023526	Predicted to enable uridine phosphorylase activity. Predicted to be involved in nucleoside metabolic process and nucleotide catabolic process. Predicted to be located in cytoplasm. Is an ortholog of C. elegans upp-1. In C. elegans, upp-1 is involved in thymidine metabolic process; uracil catabolic process; and uridine catabolic process.
WBGene00023527	Predicted to enable DNA binding activity. Is an ortholog of C. elegans baz-2. In C. elegans, baz-2 is involved in positive regulation of histone H3-K9 methylation.
WBGene00023528	Is an ortholog of C. elegans C54E10.1.
WBGene00023529	Is predicted to encode a protein with the following domains: Domain of unknown function; Ankyrin repeats (many copies); BRCT domain; Ankyrin repeat; Domain of unknown function WSN; BRCT domain superfamily; and Ankyrin repeat-containing domain superfamily. Is an ortholog of C. elegans F37A4.4 and lido-18.
WBGene00023530	none available
WBGene00023531	none available
WBGene00023532	Is predicted to encode a protein with the following domains: PAN-like domain; PAN-3 domain; and C-type lectin fold. Is an ortholog of C. elegans clec-250 and clec-257.
WBGene00023533	Is predicted to encode a protein with the following domain: Zinc finger C2H2-type. Is an ortholog of C. elegans lin-13. In C. elegans, lin-13 is involved in negative regulation of vulval development and reproduction.
WBGene00023534	none available
WBGene00023535	none available
WBGene00023536	Predicted to be part of eukaryotic translation initiation factor 3 complex. Is an ortholog of C. elegans egl-45. In C. elegans, egl-45 is involved in embryo development and oviposition.
WBGene00023537	Predicted to enable DNA binding activity. Is an ortholog of C. elegans egl-5. In C. elegans, egl-5 is involved in several processes, including anterior/posterior pattern specification; nematode male tail tip morphogenesis; and regulation of transcription by RNA polymerase II.
WBGene00023538	Is predicted to encode a protein with the following domains: BTB/POZ domain; BTB/POZ domain; and SKP1/BTB/POZ domain superfamily. Is an ortholog of C. elegans cyk-7. In C. elegans, cyk-7 is involved in intercellular bridge organization.
WBGene00023539	Predicted to enable DNA binding activity. Is an ortholog of C. elegans mab-5. In C. elegans, mab-5 is involved in several processes, including neuroblast migration; positive regulation of mesodermal cell fate specification; and regulation of transcription by RNA polymerase II.
WBGene00023540	Predicted to enable nucleic acid binding activity and zinc ion binding activity. Predicted to be involved in mRNA splicing, via spliceosome. Predicted to be part of spliceosomal complex. Is an ortholog of C. elegans snu-23.
WBGene00023541	Is predicted to encode a protein with the following domains: OST3 / OST6 family, transporter family; Oligosaccharyl transferase complex, subunit OST3/OST6; and Thioredoxin-like superfamily. Is an ortholog of C. elegans ZK686.3.
WBGene00023542	Predicted to enable ATP binding activity and nucleic acid binding activity. Is an ortholog of C. elegans ZK686.2.
WBGene00023543	Predicted to be part of SAM complex. Is an ortholog of C. elegans mtx-2.
WBGene00023544	none available
WBGene00023545	Predicted to enable serine-type peptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans pcp-1.
WBGene00023546	Predicted to enable serine-type peptidase activity. Predicted to be involved in proteolysis. Is an ortholog of C. elegans pcp-1.
WBGene00023547	Predicted to enable calcium ion binding activity. Predicted to be involved in homophilic cell adhesion via plasma membrane adhesion molecules. Predicted to be located in membrane. Is an ortholog of C. elegans cdh-3. In C. elegans, cdh-3 is involved in basement membrane disassembly and nematode male tail tip morphogenesis.
WBGene00023548	Is predicted to encode a protein with the following domains: Cell division protein anillin; PH domain; Pleckstrin homology domain; PH-like domain superfamily; and Anillin homology domain.
WBGene00023549	Predicted to enable ATP binding activity and protein kinase activity. Predicted to be involved in protein phosphorylation.
WBGene00023550	none available
WBGene00023551	Predicted to enable DNA binding activity. Is an ortholog of C. elegans chrIII_pilon.g8226 and mab-5. In C. elegans, mab-5 is involved in several processes, including neuroblast migration; positive regulation of mesodermal cell fate specification; and regulation of transcription by RNA polymerase II.
WBGene00023552	Is an ortholog of C. elegans pqn-18.
WBGene00023553	Predicted to enable G-protein beta-subunit binding activity. Predicted to be involved in G protein-coupled receptor signaling pathway. Predicted to be part of heterotrimeric G-protein complex. Is an ortholog of C. elegans gpc-1. In C. elegans, gpc-1 is involved in sensory perception of taste.
WBGene00023554	Predicted to enable branched-chain-amino-acid transaminase activity. Predicted to be involved in branched-chain amino acid metabolic process. Is an ortholog of C. elegans bcat-1. In C. elegans, bcat-1 is involved in cellular amino acid catabolic process; embryo development; and nematode larval development.
WBGene00023555	Predicted to enable ATP binding activity and ATP hydrolysis activity. Is an ortholog of C. elegans T14G8.3. In C. elegans, T14G8.3 is involved in IRE1-mediated unfolded protein response.
WBGene00023556	Is an ortholog of C. elegans T14G8.4.
WBGene00023557	Is an ortholog of C. elegans T14F9.2.
WBGene00023558	Predicted to be involved in autophagy. Is an ortholog of C. elegans T04D3.1.
WBGene00023559	Is predicted to encode a protein with the following domain: Zinc finger, RING/FYVE/PHD-type.
WBGene00023560	none available
WBGene00023561	Is an ortholog of C. elegans C52G5.3.
WBGene00023562	Is predicted to encode a protein with the following domains: THAP4-like, heme-binding beta-barrel domain; Calycin; and THAP4-like, heme-binding beta-barrel domain. Is an ortholog of C. elegans C52G5.2.
WBGene00023563	none available
